,INFL,FEDFUNDS,LONGRATE,LR7Y,LR5Y,LR3Y,LR2Y,LR1Y,DM2SL,DM2MSL,DMZMSL,DM1SL,BAA10Y,EBP,DMBSL,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP
1971-2,5.221403448,4.566666667,6.246666667,6.315238095,6.158571429,5.841111111,#N/A,5.004126984,15.15773292,11.20094934,11.20094934,8.381721799,#N/A,#N/A,7.696551434,#N/A,8.569406747,12.46884151,10.15547293,10.15547293,12.00391806,-0.839127301
1971-3,4.055245284,5.476666667,6.483333333,6.59609375,6.5128125,6.32875,#N/A,5.75203125,11.73741041,9.275009782,9.275009782,6.853054031,#N/A,#N/A,8.33558138,#N/A,6.733834935,9.571246218,8.379040347,8.379040347,9.809325587,-0.799617079
1971-4,3.322263788,4.75,5.89,5.960983607,5.793114754,5.387868852,#N/A,4.720819672,10.68418069,7.010890284,7.010890284,3.70509155,#N/A,#N/A,4.905665557,#N/A,3.647068049,7.862019417,5.889128825,5.889128825,8.599221487,-1.343648014
1972-1,6.034282267,3.546666667,6.033333333,5.984444444,5.721269841,5.321587302,#N/A,4.413015873,11.86045586,8.657244352,8.657244352,7.7683601,#N/A,#N/A,7.466599882,#N/A,8.000331966,10.2922207,8.580964371,8.580964371,11.89410733,-0.323893557
1972-2,2.483423524,4.3,6.143333333,6.11296875,5.970625,5.6821875,#N/A,4.8409375,9.890937901,7.189409713,7.189409713,6.492169849,#N/A,#N/A,6.957557551,#N/A,6.377331987,7.913077847,6.749926262,6.749926262,9.077593121,1.127291117
1972-3,3.81405303,4.743333333,6.29,6.237301587,6.077460317,5.872222222,#N/A,5.148888889,13.24081314,9.582467542,9.582467542,8.274229339,#N/A,#N/A,7.366836568,#N/A,8.274219096,10.33912452,8.952166438,8.952166438,9.854500165,1.263356032
1972-4,5.057126171,5.146666667,6.373333333,6.244833333,6.152333333,6.001,#N/A,5.437833333,13.06837485,9.971295743,9.971295743,9.675907389,#N/A,#N/A,9.057935629,#N/A,9.729922717,10.87790283,9.869980511,9.869980511,10.85579969,2.125989682
1973-1,4.584293901,6.536666667,6.603333333,6.572096774,6.580806452,6.568870968,#N/A,6.317903226,9.389167912,6.241543229,6.241543229,7.91469672,#N/A,-0.037977243,10.08667291,#N/A,7.968021616,7.871769097,6.9366727,6.9366727,9.470294317,3.794128291
1973-2,6.101771868,7.816666667,6.806666667,6.768571429,6.723968254,6.815396825,#N/A,7.016666667,6.521132335,3.533204279,3.533204279,4.685188788,#N/A,-0.055989162,7.893115883,#N/A,4.632321046,4.698967733,3.763586471,3.763586471,6.766670324,4.028986543
1973-3,7.724377965,10.56,7.206666667,7.29031746,7.357301587,7.57952381,#N/A,8.522380952,5.574333365,2.680959826,2.680959826,4.579209631,#N/A,-0.272473852,8.385629492,#N/A,4.526861228,3.76232276,3.082576124,3.082576124,6.175907365,2.59608734
1973-4,7.888750324,9.996666667,6.753333333,6.814,6.828166667,6.873166667,#N/A,7.414,5.120980328,2.186420065,2.186420065,5.038627035,#N/A,0.095003535,6.522847118,#N/A,5.03866811,3.494583968,2.784778906,2.784778906,5.673780105,2.671052852
1974-1,7.477140793,9.323333333,7.053333333,7.048032787,7.035081967,7.037213115,#N/A,7.378852459,7.313955959,4.337310244,4.337310244,6.537169632,#N/A,0.032098055,8.88842532,#N/A,6.473456263,5.64126045,4.750341353,4.750341353,6.743230909,0.901242543
1974-2,9.340235318,11.25,7.543333333,7.865714286,8.066507937,8.156825397,#N/A,8.693015873,4.797635733,2.954851425,3.021754109,3.752138075,#N/A,0.27449008,10.07285683,#N/A,3.762391015,3.559102431,3.123968403,3.123968403,4.73622593,0.262078583
1974-3,11.55034115,12.09,7.963333333,8.28375,8.4628125,8.49578125,#N/A,9.015,4.258664509,3.309383379,3.330946912,3.519883902,#N/A,0.956244477,7.83149324,#N/A,3.647123209,3.496428971,3.291171467,3.295737857,6.052372278,-1.531089497
1974-4,11.5917081,9.346666667,7.67,7.661803279,7.65557377,7.622622951,#N/A,7.676065574,6.074096595,5.382774223,5.425226619,4.808104009,#N/A,1.055219517,8.362632499,#N/A,4.796527948,5.169765027,4.972388067,4.981460292,5.157343574,-2.729001607
