,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,DM2SL,DM2MSL,DMZMSL,DM1SL,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1
"1954-3",14.574999999999999,0.52200000000000002,5.9669999999999996,5.4669999999999996,1.0269999999999999,#N/A,2.347,#N/A,#N/A,#N/A,#N/A,0.27290715399999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.7110248050000001,#N/A,0.16500000000000001,0,#N/A,#N/A,#N/A,#N/A
"1954-4",14.615,1.0960000000000001,5.3330000000000002,4.7670000000000003,0.98699999999999999,-0.040000000000000001,2.4729999999999999,#N/A,#N/A,#N/A,#N/A,2.567109673,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.37187192699999999,#N/A,0.57399999999999995,0.126,#N/A,#N/A,#N/A,#N/A
"1955-1",14.683,1.857,4.7329999999999997,5.5670000000000002,1.343,0.35599999999999998,2.6469999999999998,#N/A,#N/A,#N/A,#N/A,0.29987040100000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.8431017629999999,#N/A,0.76100000000000001,0.17399999999999999,#N/A,#N/A,#N/A,#N/A
"1955-2",14.744,1.6579999999999999,4.4000000000000004,4.5,1.5,0.157,2.7629999999999999,#N/A,#N/A,#N/A,#N/A,1.060386724,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.8745996909999998,#N/A,-0.19900000000000001,0.11600000000000001,#N/A,#N/A,#N/A,#N/A
"1955-3",14.847,2.7850000000000001,4.0999999999999996,3.7669999999999999,1.9399999999999999,0.44,2.9470000000000001,#N/A,#N/A,#N/A,#N/A,0.60467555200000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.633690987,#N/A,1.127,0.184,#N/A,#N/A,#N/A,#N/A
"1955-4",14.994999999999999,3.968,4.2329999999999997,3.7000000000000002,2.3570000000000002,0.41699999999999998,2.9100000000000001,#N/A,#N/A,#N/A,#N/A,1.1815150109999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.6184060859999998,#N/A,1.1830000000000001,-0.036999999999999998,#N/A,#N/A,#N/A,#N/A
"1956-1",15.144,3.9550000000000001,4.0330000000000004,4.7329999999999997,2.4830000000000001,0.126,2.8999999999999999,#N/A,#N/A,#N/A,#N/A,1.967416461,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.5633499350000002,#N/A,-0.012999999999999999,-0.01,#N/A,#N/A,#N/A,#N/A
"1956-2",15.234,2.3700000000000001,4.2000000000000002,4.3330000000000002,2.6930000000000001,0.20999999999999999,3.0830000000000002,#N/A,#N/A,#N/A,#N/A,0.66672327300000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.7575374680000002,#N/A,-1.585,0.183,#N/A,#N/A,#N/A,#N/A
"1956-3",15.425000000000001,4.984,4.133,3.8330000000000002,2.8100000000000001,0.11700000000000001,3.2730000000000001,#N/A,#N/A,#N/A,#N/A,0.484192597,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9957807380000001,#N/A,2.6139999999999999,0.19,#N/A,#N/A,#N/A,#N/A
"1956-4",15.487,1.605,4.133,3.6669999999999998,2.927,0.11700000000000001,3.4729999999999999,#N/A,#N/A,#N/A,#N/A,2.1645650509999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.963672254,#N/A,-3.379,0.20000000000000001,#N/A,#N/A,#N/A,#N/A
"1957-1",15.699999999999999,5.4640000000000004,3.9329999999999998,4.633,2.9329999999999998,0.0060000000000000001,3.403,#N/A,#N/A,#N/A,#N/A,0.70008592199999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.8642785929999999,#N/A,3.859,-0.070000000000000007,#N/A,#N/A,#N/A,#N/A
