,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"21-1",0.12680286912506072,0.13430174752464627,0.34383382987257594,0.38084709121757054,0.6297895701720484,0.6872300913346342,0.03231480891763213,0.034225844718722982,0.32103291475301104,0.32229850368492463,0.54178928324412901,0.55992799361293266,-0.14879310400260434,-0.12993206661643064,-0.37403697717366802,-0.28395696999858966,-0.34594042332630304,-0.20304826109070254,-0.14879310400260434,-0.12993206661643064,-0.37403697717366802,-0.28395696999858966,-0.34666806750371565,-0.20260357872623619
"22-1",0.1268028691250607,0.13430174752464627,0.34381123814408743,0.38083575097855726,0.6299265811455208,0.68738367169354886,0.03231480891763213,0.034225844718722975,0.3210271574117598,0.32229480351713058,0.5418402388158563,0.55988857450167595,-0.14879310400260429,-0.12993206661643053,-0.37390141881122635,-0.28388892455305731,-0.34612187779085302,-0.2040551521218279,-0.14879310400260429,-0.12993206661643053,-0.37403697717366824,-0.28395696999858971,-0.34681735612540482,-0.20255342935067056
"23-1",0.12680286912506067,0.13430174752464627,0.34377651118874109,0.38083449278646042,0.63007088731142735,0.68744612198883559,0.032314808917632172,0.034225844718722948,0.3210327702090901,0.32230180957811816,0.54178602614324278,0.55977924484675456,-0.14879310400260426,-0.12993206661643047,-0.37373653824544018,-0.28390569234658769,-0.34611740617749698,-0.20466339705359862,-0.14879310400260426,-0.12993206661643047,-0.37402037381208297,-0.28394768698162559,-0.34705949409933945,-0.20261569700256274
"24-1",0.12680286912506067,0.13430174752464627,0.34383341010301594,0.38087141997824864,0.63008350280095804,0.68736416211585283,0.032314808917632214,0.034225844718722927,0.32100754895905531,0.3222792998038998,0.54181698386088961,0.55966197513252336,-0.14879310400260426,-0.12993206661643047,-0.37358674222546845,-0.28379877746252274,-0.34536652028582582,-0.20477065236439673,-0.14879310400260426,-0.12993206661643047,-0.37409466656341595,-0.28400167613211869,-0.34731689800730703,-0.20255521483770317
"25-1",0.1268028691250607,0.13430174752464627,0.34369143581968764,0.38075943747258589,0.63008482805008348,0.68756347435764764,0.032314808917632179,0.034225844718722961,0.32102205613524498,0.32229269655467463,0.54157244355364731,0.55943914463959588,-0.14879310400260426,-0.12993206661643047,-0.37325903612409661,-0.28348695126839685,-0.3430911236871178,-0.20342491206432578,-0.14879310400260426,-0.12993206661643047,-0.37400778382514149,-0.28393561724769922,-0.34780183605793519,-0.20306096212869384
"26-1",0.1268028691250607,0.13430174752464627,0.34373712710631565,0.38084306933053558,0.62996382811123186,0.68698009010826788,0.032314808917632179,0.034225844718722948,0.32100612750489843,0.32228340223392676,0.54155073650133423,0.55914058814399159,-0.14879310400260426,-0.12993206661643047,-0.37273683363584442,-0.28334331095984383,-0.33993720475011213,-0.20169885671495258,-0.14879310400260426,-0.12993206661643047,-0.37409450124451299,-0.28401084102429719,-0.34829965159352494,-0.20281090343263139
"27-1",0.1268028691250607,0.13430174752464627,0.3438836100547088,0.38097992864181235,0.63133718383960036,0.68840433638552279,0.0323148089176322,0.034225844718722948,0.32092995544967634,0.32221437545601483,0.54145237480380315,0.55869074502349936,-0.14879310400260429,-0.12993206661643047,-0.37223340101476832,-0.28318968744421402,-0.33999060085067201,-0.20380714870896899,-0.14879310400260429,-0.12993206661643047,-0.37435486017062325,-0.28422157017120869,-0.34980077435626722,-0.20365255157132511
"28-1",0.12680286912506067,0.1343017475246463,0.34382589325692209,0.38092275164024691,0.63377532357992816,0.69016211712935471,0.032314808917632172,0.034225844718722934,0.32088116563000463,0.32217831462918833,0.54054419895576133,0.55772846332698167,-0.14879310400260434,-0.12993206661643047,-0.37156081950908604,-0.28285603255412983,-0.34275393007851424,-0.20695739359960033,-0.14879310400260434,-0.12993206661643047,-0.37443034525194396,-0.28426384981657349,-0.35283901297852316,-0.20616336325430357
"29-1",0.12680286912506067,0.13430174752464627,0.34351820936493294,0.38069767216209005,0.63387891814229103,0.68953735692893814,0.032314808917632151,0.034225844718722954,0.32083697696893959,0.32211216173121365,0.53989582547737458,0.55665065999637042,-0.14879310400260432,-0.12993206661643047,-0.3692525525962379,-0.28063561588143582,-0.34475908182679726,-0.20887578221726288,-0.14879310400260432,-0.12993206661643047,-0.37440756898756311,-0.28431339784135456,-0.35460764034657005,-0.20676472964235512
"30-1",0.12680286912506067,0.1343017475246463,0.34296147586952253,0.38014227624539598,0.6336379579193393,0.6892574876711357,0.032314808917632137,0.034225844718722975,0.32075483203924549,0.32207587894455619,0.53968875928926252,0.55597451998913716,-0.14879310400260437,-0.12993206661643047,-0.36525135703398204,-0.27763986642482125,-0.3472755187829098,-0.2111158114743048,-0.14879310400260437,-0.12993206661643047,-0.3745413194748784,-0.28429803457552127,-0.3542475906232313,-0.20557614589949547
