,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"21-1",0.016087242836625878,0.018804434833450581,0.15452847010795814,0.30031123003667193,0.28447273607273893,0.53343536976215189,0.11865481190248699,0.13869602770064546,0.70057678065103646,0.9444797372883762,1.1207861970363304,1.5036538460872308,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883492,-0.7256437828911908,-0.091861478629130591,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883492,-0.7256437828911908,-0.091861478629130591
"22-1",0.016087242836625888,0.018804434833450588,0.15452847010795773,0.30031123003667204,0.28447273607273882,0.53343536976215211,0.11865481190248703,0.13869602770064546,0.70057678065103601,0.94447973728837642,1.1207861970363309,1.5036538460872315,-0.15255789287863236,-0.090487620669789312,-0.63685460976793418,-0.24897723466883476,-0.72564378289119125,-0.091861478629130508,-0.15255789287863236,-0.090487620669789312,-0.63685460976793418,-0.24897723466883476,-0.72564378289119125,-0.091861478629130508
"23-1",0.016087242836625885,0.018804434833450567,0.15452847010795795,0.30031123003667204,0.28447273607273893,0.53343536976215233,0.11865481190248703,0.13869602770064546,0.70057678065103646,0.94447973728837631,1.1207861970363318,1.5036538460872306,-0.15255789287863245,-0.09048762066978927,-0.63685460976793418,-0.24897723466883476,-0.72564378289119102,-0.09186147862913048,-0.15255789287863245,-0.09048762066978927,-0.63685460976793418,-0.24897723466883476,-0.72564378289119102,-0.09186147862913048
"24-1",0.016087242836625888,0.018804434833450595,0.15452847010795798,0.30031123003667226,0.28440402604917742,0.53345748774736901,0.11865481190248701,0.13869602770064546,0.70057678065103723,0.94447973728837586,1.1202794119393269,1.5038169818962845,-0.15255789287863239,-0.090487620669789257,-0.63685460976793418,-0.2489772346688349,-0.72499219476508148,-0.092071227015084786,-0.15255789287863239,-0.090487620669789257,-0.63685460976793418,-0.2489772346688349,-0.7256437828911908,-0.091861478629130591
"25-1",0.016087242836625888,0.018804434833450595,0.15452847010795795,0.30031123003667198,0.28472532163693981,0.53337837334718408,0.11865481190248699,0.13869602770064546,0.70057678065103735,0.94447973728837531,1.1189763550417429,1.5041446454327618,-0.15255789287863236,-0.09048762066978934,-0.63685460976793418,-0.24897723466883492,-0.7224143965191665,-0.092716393365918415,-0.15255789287863236,-0.09048762066978934,-0.63685460976793418,-0.24897723466883492,-0.72530095218142043,-0.09194653089693558
"26-1",0.016087242836625885,0.018804434833450602,0.15452847010795809,0.30031123003667221,0.28606927502877127,0.53317806107986998,0.11865481190248697,0.13869602770064551,0.70057678065103768,0.94447973728837586,1.1170983141029842,1.5051824679221499,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883484,-0.71628316299595629,-0.094760744487410759,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883484,-0.72401571251603958,-0.092202038470590331
"27-1",0.016087242836625888,0.018804434833450609,0.15452847010795789,0.30031123003667248,0.28921682424343759,0.53257146261193011,0.11865481190248697,0.13869602770064551,0.70057678065103857,0.9444797372883752,1.1154823531074134,1.5079509547661327,-0.15255789287863236,-0.090487620669789381,-0.63685460976793462,-0.24897723466883487,-0.70500728417946879,-0.10048307951872275,-0.15255789287863236,-0.090487620669789381,-0.63685460976793462,-0.24897723466883487,-0.72107460427237502,-0.092961896204189529
"28-1",0.016087242836625885,0.018804434833450626,0.15448339881667372,0.30030536756299103,0.29579628821552784,0.52975511186772628,0.11865481190248697,0.13869602770064551,0.70024434794993373,0.94443649739207924,1.1215145154192234,1.5086625120443953,-0.15255789287863236,-0.090487620669789409,-0.63642719151500882,-0.24892163989470312,-0.6951921541161501,-0.1081971357094072,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.2489772346688347,-0.71582260373633533,-0.095303653594868282
"29-1",0.01608724283662586,0.018804434833450689,0.15451198836341073,0.30036483335219899,0.29882895789182873,0.52657084306514312,0.11865481190248697,0.13869602770064549,0.69887004336639824,0.94450239175373851,1.1232572095553406,1.5059996204773487,-0.15255789287863236,-0.090487620669789312,-0.63427073005454959,-0.24891478741446479,-0.67974239905917733,-0.11441721059037963,-0.15255789287863236,-0.090487620669789312,-0.63670664634542318,-0.24894244530889004,-0.71192686629221269,-0.098145495146377507
"30-1",0.016087242836625857,0.018804434833450682,0.15472253656831692,0.30040947418313657,0.30897682995338643,0.52733657039084691,0.11865481190248696,0.13869602770064549,0.69731520342229336,0.9442104695740281,1.130113690897202,1.5083959235571751,-0.15255789287863236,-0.090487620669789298,-0.63150804233349489,-0.24838683011700385,-0.6634179475408859,-0.11796970493810055,-0.15255789287863236,-0.090487620669789298,-0.63641655930057484,-0.24888446304231576,-0.7048296941858152,-0.098241214297252771
