,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,LR7Y,LR5Y,LR3Y,LR2Y,LR1Y,DM2SL,DM2MSL,DMZMSL,DM1SL,BAA10Y,EBP,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1,PGR
1956-1,15.134,3.984361252,4.033,4.733,2.483333333,0.126,2.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.967416461,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.676681509,#N/A,-0.013,-0.01,#N/A,#N/A,#N/A,#N/A,2.63796
1956-2,15.224,2.371704689,4.2,4.333,2.693333333,0.21,3.083333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.666723273,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.856149436,#N/A,-1.585,0.183,#N/A,#N/A,#N/A,#N/A,2.59315
1956-3,15.415,4.987172538,4.133,3.833,2.81,0.117,3.273333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.484192597,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.073440143,#N/A,2.614,0.19,#N/A,#N/A,#N/A,#N/A,2.69602
1956-4,15.477,1.605595837,4.133,3.667,2.926666667,0.117,3.473333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.164565051,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.020310476,#N/A,-3.379,0.2,#N/A,#N/A,#N/A,#N/A,2.83643
1957-1,15.689,5.441911568,3.933,4.633,2.933333333,0.006,3.403333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.700085922,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.895606815,#N/A,3.859,-0.07,#N/A,#N/A,#N/A,#N/A,3.03748
1957-2,15.799,2.794726816,4.1,4.167,3,0.067,3.626666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.434285656,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.84936782,#N/A,-2.671,0.224,#N/A,#N/A,#N/A,#N/A,3.2107
1957-3,15.893,2.37284553,4.233,3.833,3.233333333,0.233,3.926666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.299840834,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.994458977,#N/A,-0.422,0.3,#N/A,#N/A,#N/A,#N/A,3.33157
1957-4,15.904,0.27675568,4.933,4.4,3.253333333,0.02,3.633333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.303369711,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.068689649,#N/A,-2.094,-0.294,#N/A,#N/A,#N/A,#N/A,3.46599
1958-1,16.076,4.302730669,6.3,7.4,1.863333333,-1.39,3.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.377422747,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.368456338,#N/A,4.023,-0.593,#N/A,#N/A,#N/A,#N/A,3.46178
1958-2,16.123,1.167738958,7.367,7.4,0.94,-0.923,2.923333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.72662535,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.59472402,#N/A,-3.133,-0.117,#N/A,#N/A,#N/A,#N/A,3.55802
1958-3,16.221,2.423950035,7.333,6.7,1.323333333,0.383,3.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.007241011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.247168585,#N/A,1.255,0.577,#N/A,#N/A,#N/A,#N/A,3.59498
1958-4,16.298,1.894280732,6.367,5.7,2.163333333,0.84,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.728984676,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.894057975,#N/A,-0.529,0.3,#N/A,#N/A,#N/A,#N/A,3.74588
1959-1,16.336,0.93154421,5.833,6.8,2.57,0.407,3.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.285425483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.063114894,#N/A,-0.962,0.19,#N/A,#N/A,#N/A,#N/A,3.76075
1959-2,16.361,0.611677031,5.1,5.167,3.083333333,0.513,4.256666667,#N/A,#N/A,#N/A,#N/A,#N/A,5.931484054,5.658209907,5.658209907,3.430225881,#N/A,#N/A,2.098358734,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.338625205,#N/A,-0.32,0.267,#N/A,#N/A,#N/A,#N/A,3.85387
1959-3,16.424,1.537290286,5.267,4.9,3.576666667,0.494,4.503333333,#N/A,#N/A,#N/A,#N/A,#N/A,5.394766422,5.438400259,5.438400259,2.836220817,#N/A,#N/A,1.234011256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.393240458,#N/A,0.925,0.246,#N/A,#N/A,#N/A,#N/A,4.03124
1959-4,16.489,1.579924881,5.6,5.033,3.99,0.413,4.583333333,#N/A,#N/A,#N/A,#N/A,#N/A,1.393494695,2.061377249,2.061377249,-3.595955138,#N/A,#N/A,-1.039452913,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.32688868,#N/A,0.019,0.08,#N/A,#N/A,#N/A,#N/A,4.01751
1960-1,16.555,1.597871632,5.133,5.967,3.933333333,-0.057,4.486666667,#N/A,#N/A,#N/A,#N/A,#N/A,2.103501351,2.56187193,2.56187193,-1.046996434,#N/A,#N/A,0,0.02599,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.878636973,#N/A,0.066,-0.096,#N/A,#N/A,#N/A,#N/A,4.08241
1960-2,16.597,1.013514056,5.233,5.267,3.696666667,-0.236,4.26,#N/A,#N/A,#N/A,#N/A,#N/A,3.201084106,2.822289194,2.822289194,-0.858676537,#N/A,#N/A,0.129653009,0.02542,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.665639304,#N/A,-0.632,-0.227,-0.941258927,-1.518474281,1.930258927,0.956533185,4.00853
1960-3,16.654,1.37138867,5.533,5.133,2.936666667,-0.76,3.833333333,#N/A,#N/A,#N/A,#N/A,#N/A,7.066623687,6.312309382,6.312309382,3.707691431,#N/A,#N/A,2.160374385,0.03141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.170986666,#N/A,0.406,-0.427,0.115946252,-0.582856934,1.279053748,-0.470997821,3.99304
1960-4,16.703,1.175166478,6.267,5.667,2.296666667,-0.64,3.886666667,#N/A,#N/A,#N/A,#N/A,#N/A,5.78781289,5.901340216,5.901340216,-0.18930431,#N/A,#N/A,2.617593487,0.04196,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.390416174,#N/A,-0.221,0.054,-0.342045504,-2.390076112,1.516045504,-0.898203011,3.91847
1961-1,16.739,0.861192845,6.8,7.833,2.003333333,-0.294,3.786666667,#N/A,#N/A,#N/A,#N/A,#N/A,6.845041353,6.827920166,6.827920166,1.983240989,#N/A,#N/A,1.608035605,0.04039,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.691791709,#N/A,-0.313,-0.1,-0.25468549,-0.612369585,1.11568549,-2.980827654,3.94031
1961-2,16.778,0.930871321,7,6.967,1.733333333,-0.27,3.79,#N/A,#N/A,#N/A,#N/A,#N/A,7.30976328,6.410603277,6.410603277,2.909786385,#N/A,#N/A,0.509990171,0.03628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.985216528,#N/A,0.069,0.003,0.115600758,0.338204599,0.814399242,-3.252797957,3.80883
1961-3,16.821,1.023840554,6.767,6.3,1.683333333,-0.05,3.98,#N/A,#N/A,#N/A,#N/A,#N/A,6.690423275,5.584882907,5.584882907,2.33128064,#N/A,#N/A,3.245968723,0.03613,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.089773159,#N/A,0.093,0.19,0.120300251,0.575763627,0.902699749,-2.595431853,3.93053
1961-4,16.874,1.258347974,6.2,5.633,2.4,0.717,3.973333333,#N/A,#N/A,#N/A,#N/A,#N/A,6.980557446,7.271390257,7.271390257,3.609882189,#N/A,#N/A,5.460373415,0.03369,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.146378476,#N/A,0.235,-0.007,0.214258255,0.661065051,1.043741745,-1.744916161,3.93279
1962-1,16.961,2.057046059,5.633,6.467,2.456666667,0.057,4.016666667,#N/A,3.83516129,3.631451613,#N/A,3.202258065,8.195466571,6.812210336,6.812210336,2.571765461,#N/A,#N/A,3.208905372,0.03178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.389053606,1.59290323,0.798,0.044,0.694498453,0.57986671,1.361501547,-0.897308041,4.01896
